id,created_date,created_time,type,message,link
141108613290_10156742755128291,21/7/2018,11:20:25,link,ตามข่าว ตอนครูคนนี้ถูกร้องเรียนให้มีการตั้งกรรมการสอบสี่ปีก่อน ตอนนั้นฝั่งครูเพื่อนๆของครูคนนี้ออกมาปกป้องครู เขาเป็นคนดี จะไปทำเด็กทำไม มีโจมตีเด็กบอกว่าเด็กหน้าตาก็ไม่ได้สวยอะไรใครจะไปอยากลวนลาม แถมตั้งแง่ว่าเด็กจงใจใส่ร้ายเพราะไม่อยากเรียนกับครูคนนี้ใช้มั้ย เหี้ยสุดคือมีการขู่ซ้ำ บอกว่าจะฟ้องหมิ่นประมาททางเด็กที่ร้องเรียน,https://www.bugaboo.tv/watch/394832
141108613290_10157148696308291,27/12/2018,21:59:19,link,เอาละวาาาาาาาาาาาาาาาาาาาาาาาาาาาา,https://www.khaosod.co.th/special-stories/news_2013932
141108613290_10156874660808291,10/9/2018,13:08:10,link,ล่าสุด โค้ชเซเรน่ายอมรับกับสื่อว่า ส่งสัญญาณชี้แนะให้เซเรน่าจริง แต่เซเรน่าไม่ได้มอง แล้วโค้ชก็บอกว่าใครๆเขาก็ทำกันทั้งนั้น อีกฝั่งก็ทำ   อนึ่ง กฏของการแข่งเทนนิสแกรนด์สแลม ห้ามโค้ชสอนหรือบอกแทกติคการเล่นระหว่าการแข่งขันครับ  .....ซวยละเซเรน่า  แต่ตอนนี้ที่ ตปท กำลังดราม่ากันรัวๆ ฝั่งนึงก็เชียร์ฝั่งเซเรน่า บอกว่าเธอถูกเหยียดเพศโดยผู้ตัดสิน ทำถูกแล้ว ผู้ตัดสินแม่งไม่ได้เรื่องทำเอาเกมหมดสนุก บลาๆ อีกฝั่งก็ด่าเซเรน่าว่า ก็โค้ชทำผิดกติกาจริงนี่หว่าทำไมไม่ยอมรับแล้วตั้งหน้าตั้งตาเล่นต่อไปฟะ บลาๆ,http://www.nationtv.tv/main/content/378655139/
141108613290_10157117080828291,15/12/2018,11:13:52,link,พี่ตำรวจคนนี้ ทำงานหนัก พักผ่อนน้อย วันเกิดเหตุ หลังเลิกงาน ขี่มอไซด์กลับบ้าน มาถึงจุดนั้นหน้ามืด เลยจอดมอไซด์นั่งพัก แล้วก็วูบไปเลย พอรู้สึกตัวต่อมาไปหาหมอ พบว่าความดันสูงมาก 200 เลย ก็เลยพักรักษาตัวจนความดันลง  แต่มีคนแอบถ่ายภาพพี่แกตอนวูบหมดสติ มาโพสลงโซเชี่ยล หาว่าแกเมาแล้วหลับขณะปฎิบัติหน้าที่ คนก็ก่นด่าแกกันเยอะเยอะ เพิ่งมารู้ตอนหลังว่ามีคนถ่ายภาพแกตอนวูบไปมาลงโซเชียล,https://www.sanook.com/news/7610546/?utm_echo=echobox&utm_medium=Social&utm_source=Facebook&fbclid=IwAR2zUQOyuwK6ShqoJIXOP4-A7sDJSkPOz2Q6W9lFj22eiHpY3Nz967DBD_g#Echobox=1544840391
141108613290_10156885833178291,14/9/2018,14:53:58,link,มั่ยแคร์ มึงหยุด กรูเตรียมรถเสริมไว้บริการประชาชนแล้ว,https://www.khaosod.co.th/special-stories/news_1569837
141108613290_10156840195553291,28/8/2018,10:34:41,link,ประเทศไทยสูญเสียงบและ GDP กว่าปีละ เจ็ดหมื่นล้าน เพื่อรักษาผู้ป่วยสารพัดโรคที่เป็นผลจากการสูบบุหรี่ครับ,https://workpointnews.com/2018/08/27/%E0%B8%A3%E0%B8%B1%E0%B8%90%E0%B8%9A%E0%B8%B2%E0%B8%A5%E0%B8%97%E0%B8%B8%E0%B9%88%E0%B8%A1%E0%B8%87%E0%B8%9A-4000-%E0%B8%A5%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%9A%E0%B8%B2%E0%B8%97-%E0%B8%82%E0%B8%A2/
141108613290_10156958920163291,12/10/2018,19:01:28,link,ก่อนหน้านี้แม่รู้ว่าลูกถูกรังแก แต่ลูกบอกว่าแจ้งครูแล้ว ครูก็ลงโทษคนที่แกล้ง ก็เลยนึกว่าไม่มีอะไรแล้ว ที่ไหนได้,https://www.dailynews.co.th/regional/671018
141108613290_10157052441978291,19/11/2018,16:44:13,link,ขอเชิญนักฟิสิกส์มาให้คอมเม้นท์ ถถถถถถถถถถถถถถถถ Red Skull อัยสัส คลิปสามช่ามึงฮาเหี้ยๆ,https://www.springnews.co.th/social/385382?sp
141108613290_10157064441983291,24/11/2018,16:59:36,link,อ่ะ แยกย้ายๆ,https://www.dailynews.co.th/crime/678955
141108613290_10156812449618291,17/8/2018,14:10:09,link,"""เพื่อศักดิ์ศรี"" มึงหลุดมาจากยุคเซนโกกุหราาาาาาา",https://www.khaosod.co.th/breaking-news/news_1454544
